Name,Title/Role,Primary Focus,Author (Books/Articles),YouTube Channel,YouTube Subscribers,Instagram Handle,Instagram Followers,TikTok Handle,TikTok Followers,Newsletter Name,Newsletter Subscribers,Website,Notes,Date Added
Ryan Gromfin,Restaurant Coach,Operations & Profitability,Yes,The Restaurant Boss,,,,,,,,therestaurantboss.com,"Most followed restaurant coach. Johnson & Wales graduate, operated 4 restaurants. Weekly content on profits, operations, systems.",2025-11-29
Wilson K Lee,CEO - Profitable Restaurant Owner Academy,Restaurant Growth & Scaling,Yes,Wilson K Lee,30000+,@wilsonklee,,,,,1000+ academy members,wilsonklee.com,"Built 720 Sweets into international chain with profitable acquisition. 7 stores from 800 sq ft ice cream shop.",2025-11-29
David Scott Peters,Restaurant Coach & Author,Cost Control & Profitability,Yes - Restaurant Prosperity Formula book,,,,,,,The Restaurant Prosperity Formula,,davidscottpeters.com,"Original restaurant coach. Proprietary budgeting system. Average 23% reduction in food/labor costs for clients.",2025-11-29
Donald Burns,The Restaurant Coach,Operations & Culture,Yes - Your Restaurant Sucks trilogy,,,,,,,The Restaurant Coach Podcast,,donaldburns.net,"40 years experience. Executive Chef with Wolfgang Puck. 176 podcast episodes. Creator of TRC Method.",2025-11-29
Jim Sullivan,CEO - Sullivision,Leadership & Training,Yes - Multiunit Leadership (274k copies),,,@Sullivision,,,,,750000+ reach,sullivision.com,"3+ decades hospitality. Works with Disney, Chipotle, Texas Roadhouse. Featured CNN, WSJ, NYT. Keynote speaker.",2025-11-29
Jim Taylor,Founder - Benchmark Sixty,Financial Optimization & Productivity,Yes,,,,,,,,,,"Canadian restaurant financial optimization. Former Cactus Club Cafe. Focuses on labor output vs % of sales.",2025-11-29
Kristen Hawley,Restaurant Tech Journalist & Founder,Technology & Labor,Yes - Eater, Food & Wine, Insider,,,,,,Expedite (Substack),,expedite.news,"Founded Chefs+Tech newsletter 2013. Weekly analysis on restaurant tech, labor, culture. Forward-thinking hospitality.",2025-11-29
Gordon Ramsay,Celebrity Chef & Restaurateur,Restaurant Operations & Standards,Yes - Multiple books,Gordon Ramsay,20000000+,@gordongram,17000000+,@gordonramsayofficial,40000000+,,,gordonramsay.com,"Global restaurant empire. Kitchen Nightmares/Hell's Kitchen. Posts BOH staff shoutouts. Expertise in operations & service.",2025-11-29
Shawn Walchef,Founder - Cali BBQ Media,Restaurant Technology,Yes,,,,,,,Restaurant Technology (Substack),,restauranttechnology.substack.com,"Weekly business news on restaurant tech. Covers labor management, scheduling strategies, workforce optimization.",2025-11-29
Chef Pier,Chef & Content Creator,Kitchen Life & Operations,,,,,,,@chef__pier,1500000+,,,,"Viral chef content focused on kitchen life, service challenges, and BOH culture. 6.5M views on shift-end humor.",2025-11-29
Chef Thomson,Chef & Content Creator,Culinary & Kitchen Operations,,,,,,,@chefthomson,1500000+,,,,"Professional chef creating content about kitchen operations, culinary techniques, and restaurant industry.",2025-11-29
Rooted Restaurants,Restaurant Owner,Restaurant Ownership & Operations,,,,,,@rooted.restaurants,23100,,,,"NYC restaurant owner sharing construction, daily operations, and kitchen chaos. Female-owned, focuses on clean ingredients.",2025-11-29
Shannon Mano,Restaurant Owner & Influencer,Restaurant Ownership & Daily Operations,,,,,,@shannonxmano,470900,,,,"Day-in-the-life restaurant owner content. Large following with transition and trending content.",2025-11-29
Maryssa,Restaurant Owner,Small Business Ownership,,,,,,@maryssalads,1590,,,,"Restaurant owner creating viral funny content. 1.3M views on owner-related humor and trends.",2025-11-29
Fabiola Chipoco,Small Business Owner,Small Business & Restaurant Operations,,,,,,@fabiola.chipoco,8651,,,,"Small business owner content with Spanish/English audience. 803K views on relatable business ownership moments.",2025-11-29